2026-06-22 13:24:06,757 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 13:24:06,757 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 13:24:08,871 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 13:24:08,871 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 13:24:08,875 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 13:24:08,875 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 13:24:10,318 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 13:24:10,655 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 13:24:11,824 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 13:24:12,115 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 13:24:12,442 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 13:24:12,746 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 13:24:12,746 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 14:07:04,033 | INFO     | app.main:109 | Shutting down geo-map-backend...
2026-06-22 14:07:04,046 | INFO     | app.main:119 | httpx clients closed.
2026-06-22 14:07:04,046 | INFO     | app.integrations.pinecone_client:25 | Shutting down Pinecone thread pool executor...
2026-06-22 14:07:04,046 | INFO     | app.integrations.pinecone_client:27 | Pinecone thread pool executor shut down.
2026-06-22 14:07:04,046 | INFO     | app.core.redis:65 | Redis connection closed.
2026-06-22 14:07:04,046 | INFO     | app.main:127 | geo-map-backend shutdown complete.
2026-06-22 14:07:07,089 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 14:07:07,089 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 14:07:07,089 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 14:07:07,089 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 14:07:08,890 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 14:07:09,084 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 14:07:09,780 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 14:07:09,949 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 14:07:10,129 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 14:07:10,300 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 14:07:10,300 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 14:07:12,166 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 14:07:12,166 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 14:07:14,235 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 14:07:14,235 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 14:07:16,506 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 14:07:16,686 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 14:07:17,343 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 14:07:17,499 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 14:07:17,670 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 14:07:17,836 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 14:07:17,836 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 14:08:00,539 | INFO     | app.main:109 | Shutting down geo-map-backend...
2026-06-22 14:08:00,540 | INFO     | app.main:119 | httpx clients closed.
2026-06-22 14:08:00,540 | INFO     | app.integrations.pinecone_client:25 | Shutting down Pinecone thread pool executor...
2026-06-22 14:08:00,540 | INFO     | app.integrations.pinecone_client:27 | Pinecone thread pool executor shut down.
2026-06-22 14:08:00,544 | INFO     | app.core.redis:65 | Redis connection closed.
2026-06-22 14:08:00,544 | INFO     | app.main:127 | geo-map-backend shutdown complete.
2026-06-22 14:08:09,808 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 14:08:09,808 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 14:08:09,824 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 14:08:09,824 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 14:08:11,801 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 14:08:11,974 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 14:08:12,572 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 14:08:12,719 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 14:08:12,879 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 14:08:13,028 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 14:08:13,028 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 14:21:00,674 | INFO     | app.main:109 | Shutting down geo-map-backend...
2026-06-22 14:21:00,684 | INFO     | app.main:119 | httpx clients closed.
2026-06-22 14:21:00,684 | INFO     | app.integrations.pinecone_client:25 | Shutting down Pinecone thread pool executor...
2026-06-22 14:21:00,684 | INFO     | app.integrations.pinecone_client:27 | Pinecone thread pool executor shut down.
2026-06-22 14:21:00,684 | INFO     | app.core.redis:65 | Redis connection closed.
2026-06-22 14:21:00,684 | INFO     | app.main:127 | geo-map-backend shutdown complete.
2026-06-22 14:21:02,692 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 14:21:02,692 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 14:21:02,701 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 14:21:02,701 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 14:21:05,349 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 14:21:05,639 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 14:21:06,764 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 14:21:07,073 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 14:21:07,385 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 14:21:07,752 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 14:21:07,752 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 14:31:01,175 | INFO     | app.main:109 | Shutting down geo-map-backend...
2026-06-22 14:31:01,175 | INFO     | app.main:119 | httpx clients closed.
2026-06-22 14:31:01,175 | INFO     | app.integrations.pinecone_client:25 | Shutting down Pinecone thread pool executor...
2026-06-22 14:31:01,175 | INFO     | app.integrations.pinecone_client:27 | Pinecone thread pool executor shut down.
2026-06-22 14:31:01,175 | INFO     | app.core.redis:65 | Redis connection closed.
2026-06-22 14:31:01,175 | INFO     | app.main:127 | geo-map-backend shutdown complete.
2026-06-22 14:31:03,109 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 14:31:03,109 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 14:31:03,109 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 14:31:03,123 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 14:31:05,884 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 14:31:06,190 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 14:31:07,387 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 14:31:07,688 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 14:31:07,979 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 14:31:08,266 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 14:31:08,266 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 14:31:10,219 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 14:31:10,219 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 14:31:10,235 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 14:31:10,235 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 14:31:12,251 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 14:31:12,559 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 14:31:13,751 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 14:31:14,048 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 14:31:14,349 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 14:31:14,649 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 14:31:14,650 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 14:36:08,751 | INFO     | app.main:109 | Shutting down geo-map-backend...
2026-06-22 14:36:08,769 | INFO     | app.main:119 | httpx clients closed.
2026-06-22 14:36:08,770 | INFO     | app.integrations.pinecone_client:25 | Shutting down Pinecone thread pool executor...
2026-06-22 14:36:08,770 | INFO     | app.integrations.pinecone_client:27 | Pinecone thread pool executor shut down.
2026-06-22 14:36:08,771 | INFO     | app.core.redis:65 | Redis connection closed.
2026-06-22 14:36:08,771 | INFO     | app.main:127 | geo-map-backend shutdown complete.
2026-06-22 14:36:10,822 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 14:36:10,839 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 14:36:10,848 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 14:36:10,848 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 14:36:13,439 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 14:36:13,756 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 14:36:14,939 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 14:36:15,254 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 14:36:15,560 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 14:36:15,873 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 14:36:15,873 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 14:36:17,905 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 14:36:17,906 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 14:36:17,912 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
